"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 00:50:51 GMT 2023","Sun Apr 16 00:50:52 GMT 2023","497","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sun Apr 16 00:50:50 GMT 2023","Sun Apr 16 00:50:51 GMT 2023","880","","Login tests ","","","","Login with invalid password",""
"passed","Sun Apr 16 00:50:49 GMT 2023","Sun Apr 16 00:50:50 GMT 2023","858","","Login tests ","","","","Login with invalid user",""
"passed","Sun Apr 16 00:51:09 GMT 2023","Sun Apr 16 00:51:09 GMT 2023","309","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sun Apr 16 00:50:48 GMT 2023","Sun Apr 16 00:50:49 GMT 2023","1002","","Login tests ","","","","Login with invalid username and password",""
"passed","Sun Apr 16 00:50:51 GMT 2023","Sun Apr 16 00:50:51 GMT 2023","341","","Login tests ","","","","Login with empty username and password fields",""
"failed","Sun Apr 16 00:50:57 GMT 2023","Sun Apr 16 00:51:02 GMT 2023","5199","","Login tests ","","","","Login with username in upper case",""
"passed","Sun Apr 16 00:50:38 GMT 2023","Sun Apr 16 00:50:40 GMT 2023","2635","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sun Apr 16 00:50:40 GMT 2023","Sun Apr 16 00:50:42 GMT 2023","1401","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sun Apr 16 00:50:51 GMT 2023","Sun Apr 16 00:50:51 GMT 2023","513","","Login tests ","","","","Login with empty username and valid password",""
"passed","Sun Apr 16 00:50:47 GMT 2023","Sun Apr 16 00:50:48 GMT 2023","1183","","Login tests ","","","","Login with valid credentials",""
